t,amount,length,area,id_relation,Pays
2025-10-30T00:00:00.000Z,17634,0,0,/boundary/303427,Afghanistan
2025-10-31T00:00:00.000Z,17634,0,0,/boundary/303427,Afghanistan
2025-11-01T00:00:00.000Z,17634,0,0,/boundary/303427,Afghanistan
2025-11-02T00:00:00.000Z,17634,0,0,/boundary/303427,Afghanistan
2025-11-03T00:00:00.000Z,17634,0,0,/boundary/303427,Afghanistan
2025-11-04T00:00:00.000Z,17669,0,0,/boundary/303427,Afghanistan
2025-11-05T00:00:00.000Z,17669,0,0,/boundary/303427,Afghanistan
2025-11-06T00:00:00.000Z,17669,0,0,/boundary/303427,Afghanistan
2025-11-07T00:00:00.000Z,17669,0,0,/boundary/303427,Afghanistan
2025-11-08T00:00:00.000Z,17669,0,0,/boundary/303427,Afghanistan
2025-11-09T00:00:00.000Z,17669,0,0,/boundary/303427,Afghanistan
2025-11-10T00:00:00.000Z,17669,0,0,/boundary/303427,Afghanistan
2025-11-11T00:00:00.000Z,17669,0,0,/boundary/303427,Afghanistan
2025-11-12T00:00:00.000Z,17669,0,0,/boundary/303427,Afghanistan
2025-11-13T00:00:00.000Z,17669,0,0,/boundary/303427,Afghanistan
2025-11-14T00:00:00.000Z,17669,0,0,/boundary/303427,Afghanistan
2025-11-15T00:00:00.000Z,17669,0,0,/boundary/303427,Afghanistan
2024-01-01T00:00:00.000Z,8789,0,0,/boundary/53292,Albania
2024-02-01T00:00:00.000Z,8793,0,0,/boundary/53292,Albania
2024-03-01T00:00:00.000Z,8869,0,0,/boundary/53292,Albania
2024-04-01T00:00:00.000Z,8873,0,0,/boundary/53292,Albania
2024-05-01T00:00:00.000Z,8874,0,0,/boundary/53292,Albania
2024-06-01T00:00:00.000Z,8874,0,0,/boundary/53292,Albania
2024-07-01T00:00:00.000Z,9076,0,0,/boundary/53292,Albania
2024-08-01T00:00:00.000Z,9087,0,0,/boundary/53292,Albania
2024-09-01T00:00:00.000Z,9095,0,0,/boundary/53292,Albania
2024-10-01T00:00:00.000Z,9125,0,0,/boundary/53292,Albania
2024-11-01T00:00:00.000Z,9383,0,0,/boundary/53292,Albania
2024-12-01T00:00:00.000Z,9392,0,0,/boundary/53292,Albania
2025-01-01T00:00:00.000Z,9393,0,0,/boundary/53292,Albania
2025-02-01T00:00:00.000Z,9397,0,0,/boundary/53292,Albania
2025-03-01T00:00:00.000Z,9692,0,0,/boundary/53292,Albania
2025-04-01T00:00:00.000Z,9900,0,0,/boundary/53292,Albania
2025-05-01T00:00:00.000Z,9904,0,0,/boundary/53292,Albania
2025-06-01T00:00:00.000Z,9927,0,0,/boundary/53292,Albania
2025-07-01T00:00:00.000Z,9927,0,0,/boundary/53292,Albania
2025-08-01T00:00:00.000Z,10003,0,0,/boundary/53292,Albania
2025-09-01T00:00:00.000Z,10020,0,0,/boundary/53292,Albania
2025-10-01T00:00:00.000Z,10042,0,0,/boundary/53292,Albania
2025-10-02T00:00:00.000Z,10042,0,0,/boundary/53292,Albania
2025-10-03T00:00:00.000Z,10042,0,0,/boundary/53292,Albania
2025-10-04T00:00:00.000Z,10042,0,0,/boundary/53292,Albania
2025-10-05T00:00:00.000Z,10042,0,0,/boundary/53292,Albania
2025-10-06T00:00:00.000Z,10042,0,0,/boundary/53292,Albania
2025-10-07T00:00:00.000Z,10042,0,0,/boundary/53292,Albania
2025-10-08T00:00:00.000Z,10042,0,0,/boundary/53292,Albania
2025-10-09T00:00:00.000Z,10046,0,0,/boundary/53292,Albania
2025-10-10T00:00:00.000Z,10046,0,0,/boundary/53292,Albania
2025-10-11T00:00:00.000Z,10046,0,0,/boundary/53292,Albania
2025-10-12T00:00:00.000Z,10046,0,0,/boundary/53292,Albania
2025-10-13T00:00:00.000Z,10046,0,0,/boundary/53292,Albania
2025-10-14T00:00:00.000Z,10046,0,0,/boundary/53292,Albania
2025-10-15T00:00:00.000Z,10046,0,0,/boundary/53292,Albania
2025-10-16T00:00:00.000Z,10046,0,0,/boundary/53292,Albania
2025-10-17T00:00:00.000Z,10046,0,0,/boundary/53292,Albania
2025-10-18T00:00:00.000Z,10046,0,0,/boundary/53292,Albania
2025-10-19T00:00:00.000Z,10046,0,0,/boundary/53292,Albania
2025-10-20T00:00:00.000Z,10046,0,0,/boundary/53292,Albania
2025-10-21T00:00:00.000Z,10046,0,0,/boundary/53292,Albania
2025-10-22T00:00:00.000Z,10046,0,0,/boundary/53292,Albania
2025-10-23T00:00:00.000Z,10046,0,0,/boundary/53292,Albania
2025-10-24T00:00:00.000Z,10046,0,0,/boundary/53292,Albania
2025-10-25T00:00:00.000Z,10046,0,0,/boundary/53292,Albania
2025-10-26T00:00:00.000Z,10046,0,0,/boundary/53292,Albania
2025-10-27T00:00:00.000Z,10046,0,0,/boundary/53292,Albania
2025-10-28T00:00:00.000Z,10090,0,0,/boundary/53292,Albania
2025-10-29T00:00:00.000Z,10090,0,0,/boundary/53292,Albania
2025-10-30T00:00:00.000Z,10090,0,0,/boundary/53292,Albania
2025-10-31T00:00:00.000Z,10090,0,0,/boundary/53292,Albania
2025-11-01T00:00:00.000Z,10090,0,0,/boundary/53292,Albania
2025-11-02T00:00:00.000Z,10090,0,0,/boundary/53292,Albania
2025-11-03T00:00:00.000Z,10090,0,0,/boundary/53292,Albania
2025-11-04T00:00:00.000Z,10090,0,0,/boundary/53292,Albania
2025-11-05T00:00:00.000Z,10090,0,0,/boundary/53292,Albania
2025-11-06T00:00:00.000Z,10090,0,0,/boundary/53292,Albania
2025-11-07T00:00:00.000Z,10090,0,0,/boundary/53292,Albania
2025-11-08T00:00:00.000Z,10097,0,0,/boundary/53292,Albania
2025-11-09T00:00:00.000Z,10097,0,0,/boundary/53292,Albania
2025-11-10T00:00:00.000Z,10097,0,0,/boundary/53292,Albania
2025-11-11T00:00:00.000Z,10097,0,0,/boundary/53292,Albania
2025-11-12T00:00:00.000Z,10097,0,0,/boundary/53292,Albania
2025-11-13T00:00:00.000Z,10097,0,0,/boundary/53292,Albania
2025-11-14T00:00:00.000Z,10097,0,0,/boundary/53292,Albania
2025-11-15T00:00:00.000Z,10097,0,0,/boundary/53292,Albania
2024-01-01T00:00:00.000Z,250525,0,0,/boundary/192756,Algeria
2024-02-01T00:00:00.000Z,250540,0,0,/boundary/192756,Algeria
2024-03-01T00:00:00.000Z,250562,0,0,/boundary/192756,Algeria
2024-04-01T00:00:00.000Z,250714,0,0,/boundary/192756,Algeria
2024-05-01T00:00:00.000Z,250717,0,0,/boundary/192756,Algeria
2024-06-01T00:00:00.000Z,250718,0,0,/boundary/192756,Algeria
2024-07-01T00:00:00.000Z,250718,0,0,/boundary/192756,Algeria
2024-08-01T00:00:00.000Z,251030,0,0,/boundary/192756,Algeria
2024-09-01T00:00:00.000Z,251083,0,0,/boundary/192756,Algeria
2024-10-01T00:00:00.000Z,251208,0,0,/boundary/192756,Algeria
2024-11-01T00:00:00.000Z,252432,0,0,/boundary/192756,Algeria
2024-12-01T00:00:00.000Z,252612,0,0,/boundary/192756,Algeria
2025-01-01T00:00:00.000Z,254243,0,0,/boundary/192756,Algeria
2025-02-01T00:00:00.000Z,256497,0,0,/boundary/192756,Algeria
2025-03-01T00:00:00.000Z,257077,0,0,/boundary/192756,Algeria
2025-04-01T00:00:00.000Z,257457,0,0,/boundary/192756,Algeria
2025-05-01T00:00:00.000Z,258802,0,0,/boundary/192756,Algeria
2025-06-01T00:00:00.000Z,258802,0,0,/boundary/192756,Algeria
2025-07-01T00:00:00.000Z,259984,0,0,/boundary/192756,Algeria
2025-08-01T00:00:00.000Z,260029,0,0,/boundary/192756,Algeria
2025-09-01T00:00:00.000Z,260078,0,0,/boundary/192756,Algeria
2025-10-01T00:00:00.000Z,260240,0,0,/boundary/192756,Algeria
2025-10-02T00:00:00.000Z,260362,0,0,/boundary/192756,Algeria
2025-10-03T00:00:00.000Z,260417,0,0,/boundary/192756,Algeria
2025-10-04T00:00:00.000Z,260417,0,0,/boundary/192756,Algeria
2025-10-05T00:00:00.000Z,260417,0,0,/boundary/192756,Algeria
2025-10-06T00:00:00.000Z,260417,0,0,/boundary/192756,Algeria
2025-10-07T00:00:00.000Z,260417,0,0,/boundary/192756,Algeria
2025-10-08T00:00:00.000Z,260417,0,0,/boundary/192756,Algeria
2025-10-09T00:00:00.000Z,260417,0,0,/boundary/192756,Algeria
2025-10-10T00:00:00.000Z,260418,0,0,/boundary/192756,Algeria
2025-10-11T00:00:00.000Z,260418,0,0,/boundary/192756,Algeria
2025-10-12T00:00:00.000Z,260418,0,0,/boundary/192756,Algeria
2025-10-13T00:00:00.000Z,260419,0,0,/boundary/192756,Algeria
2025-10-14T00:00:00.000Z,260419,0,0,/boundary/192756,Algeria
2025-10-15T00:00:00.000Z,260419,0,0,/boundary/192756,Algeria
2025-10-16T00:00:00.000Z,260419,0,0,/boundary/192756,Algeria
2025-10-17T00:00:00.000Z,260419,0,0,/boundary/192756,Algeria
2025-10-18T00:00:00.000Z,260419,0,0,/boundary/192756,Algeria
2025-10-19T00:00:00.000Z,260419,0,0,/boundary/192756,Algeria
2025-10-20T00:00:00.000Z,260423,0,0,/boundary/192756,Algeria
2025-10-21T00:00:00.000Z,260424,0,0,/boundary/192756,Algeria
2025-10-22T00:00:00.000Z,260424,0,0,/boundary/192756,Algeria
2025-10-23T00:00:00.000Z,260459,0,0,/boundary/192756,Algeria
2025-10-24T00:00:00.000Z,260472,0,0,/boundary/192756,Algeria
2025-10-25T00:00:00.000Z,260472,0,0,/boundary/192756,Algeria
2025-10-26T00:00:00.000Z,260472,0,0,/boundary/192756,Algeria
2025-10-27T00:00:00.000Z,260472,0,0,/boundary/192756,Algeria
2025-10-28T00:00:00.000Z,260472,0,0,/boundary/192756,Algeria
2025-10-29T00:00:00.000Z,260472,0,0,/boundary/192756,Algeria
2025-10-30T00:00:00.000Z,260472,0,0,/boundary/192756,Algeria
2025-10-31T00:00:00.000Z,260472,0,0,/boundary/192756,Algeria
2025-11-01T00:00:00.000Z,260643,0,0,/boundary/192756,Algeria
2025-11-02T00:00:00.000Z,260643,0,0,/boundary/192756,Algeria
2025-11-03T00:00:00.000Z,260940,0,0,/boundary/192756,Algeria
2025-11-04T00:00:00.000Z,260940,0,0,/boundary/192756,Algeria
2025-11-05T00:00:00.000Z,260940,0,0,/boundary/192756,Algeria
2025-11-06T00:00:00.000Z,260994,0,0,/boundary/192756,Algeria
2025-11-07T00:00:00.000Z,260994,0,0,/boundary/192756,Algeria
2025-11-08T00:00:00.000Z,260994,0,0,/boundary/192756,Algeria
2025-11-09T00:00:00.000Z,260994,0,0,/boundary/192756,Algeria
2025-11-10T00:00:00.000Z,260994,0,0,/boundary/192756,Algeria
2025-11-11T00:00:00.000Z,260999,0,0,/boundary/192756,Algeria
2025-11-12T00:00:00.000Z,261326,0,0,/boundary/192756,Algeria
2025-11-13T00:00:00.000Z,261459,0,0,/boundary/192756,Algeria
2025-11-14T00:00:00.000Z,261615,0,0,/boundary/192756,Algeria
2025-11-15T00:00:00.000Z,261772,0,0,/boundary/192756,Algeria
2024-01-01T00:00:00.000Z,234,0,0,/boundary/9407,Andorra
2024-02-01T00:00:00.000Z,234,0,0,/boundary/9407,Andorra
2024-03-01T00:00:00.000Z,236,0,0,/boundary/9407,Andorra
2024-04-01T00:00:00.000Z,295,0,0,/boundary/9407,Andorra
2024-05-01T00:00:00.000Z,295,0,0,/boundary/9407,Andorra
2024-06-01T00:00:00.000Z,295,0,0,/boundary/9407,Andorra
2024-07-01T00:00:00.000Z,295,0,0,/boundary/9407,Andorra
2024-08-01T00:00:00.000Z,295,0,0,/boundary/9407,Andorra
2024-09-01T00:00:00.000Z,295,0,0,/boundary/9407,Andorra
2024-10-01T00:00:00.000Z,299,0,0,/boundary/9407,Andorra
2024-11-01T00:00:00.000Z,299,0,0,/boundary/9407,Andorra
2024-12-01T00:00:00.000Z,299,0,0,/boundary/9407,Andorra
2025-01-01T00:00:00.000Z,299,0,0,/boundary/9407,Andorra
2025-02-01T00:00:00.000Z,299,0,0,/boundary/9407,Andorra
2025-03-01T00:00:00.000Z,299,0,0,/boundary/9407,Andorra
2025-04-01T00:00:00.000Z,299,0,0,/boundary/9407,Andorra
2025-05-01T00:00:00.000Z,299,0,0,/boundary/9407,Andorra
2025-06-01T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2025-07-01T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2025-08-01T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2025-09-01T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2025-10-01T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2025-10-02T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2025-10-03T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2025-10-04T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2025-10-05T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
