x,amount,amount_1d,amount_30d,id_relation,Pays
2025-11-16T00:00:00.000Z,7,0,0,/boundary/9407,Andorra
2025-11-17T00:00:00.000Z,7,0,0,/boundary/9407,Andorra
2025-11-18T00:00:00.000Z,7,0,0,/boundary/9407,Andorra
2025-11-19T00:00:00.000Z,7,0,0,/boundary/9407,Andorra
2025-11-20T00:00:00.000Z,7,0,0,/boundary/9407,Andorra
2025-11-21T00:00:00.000Z,7,0,0,/boundary/9407,Andorra
2025-11-22T00:00:00.000Z,7,0,0,/boundary/9407,Andorra
2025-11-23T00:00:00.000Z,7,0,0,/boundary/9407,Andorra
2025-11-24T00:00:00.000Z,7,0,0,/boundary/9407,Andorra
2025-11-25T00:00:00.000Z,7,0,0,/boundary/9407,Andorra
2025-11-26T00:00:00.000Z,7,0,0,/boundary/9407,Andorra
2025-11-27T00:00:00.000Z,7,0,0,/boundary/9407,Andorra
2024-01-01T00:00:00.000Z,0,0,1,/boundary/195267,Angola
2024-03-01T00:00:00.000Z,1,0,1,/boundary/195267,Angola
2024-04-01T00:00:00.000Z,3,0,2,/boundary/195267,Angola
2024-05-01T00:00:00.000Z,3,0,0,/boundary/195267,Angola
2024-06-01T00:00:00.000Z,3,0,0,/boundary/195267,Angola
2024-07-01T00:00:00.000Z,4,0,1,/boundary/195267,Angola
2024-08-01T00:00:00.000Z,4,0,0,/boundary/195267,Angola
2024-09-01T00:00:00.000Z,4,0,0,/boundary/195267,Angola
2024-10-01T00:00:00.000Z,5,0,1,/boundary/195267,Angola
2024-11-01T00:00:00.000Z,5,0,1,/boundary/195267,Angola
2024-12-01T00:00:00.000Z,6,0,2,/boundary/195267,Angola
2025-01-01T00:00:00.000Z,6,0,0,/boundary/195267,Angola
2025-02-01T00:00:00.000Z,7,0,1,/boundary/195267,Angola
2025-03-01T00:00:00.000Z,8,0,1,/boundary/195267,Angola
2025-04-01T00:00:00.000Z,9,0,1,/boundary/195267,Angola
2025-05-01T00:00:00.000Z,9,0,0,/boundary/195267,Angola
2025-06-01T00:00:00.000Z,9,0,0,/boundary/195267,Angola
2025-07-01T00:00:00.000Z,11,0,2,/boundary/195267,Angola
2025-08-01T00:00:00.000Z,11,0,0,/boundary/195267,Angola
2025-09-01T00:00:00.000Z,12,0,1,/boundary/195267,Angola
2025-10-01T00:00:00.000Z,12,0,1,/boundary/195267,Angola
2025-11-01T00:00:00.000Z,12,0,0,/boundary/195267,Angola
2025-11-02T00:00:00.000Z,12,0,0,/boundary/195267,Angola
2025-11-03T00:00:00.000Z,12,0,0,/boundary/195267,Angola
2025-11-04T00:00:00.000Z,12,0,0,/boundary/195267,Angola
2025-11-05T00:00:00.000Z,12,0,0,/boundary/195267,Angola
2025-11-06T00:00:00.000Z,12,0,0,/boundary/195267,Angola
2025-11-07T00:00:00.000Z,12,0,0,/boundary/195267,Angola
2025-11-08T00:00:00.000Z,12,0,0,/boundary/195267,Angola
2025-11-09T00:00:00.000Z,12,0,0,/boundary/195267,Angola
2025-11-10T00:00:00.000Z,12,0,0,/boundary/195267,Angola
2025-11-11T00:00:00.000Z,12,0,0,/boundary/195267,Angola
2025-11-12T00:00:00.000Z,12,0,0,/boundary/195267,Angola
2025-11-13T00:00:00.000Z,12,0,0,/boundary/195267,Angola
2025-11-14T00:00:00.000Z,12,0,0,/boundary/195267,Angola
2025-11-15T00:00:00.000Z,12,0,0,/boundary/195267,Angola
2025-11-16T00:00:00.000Z,12,0,0,/boundary/195267,Angola
2025-11-17T00:00:00.000Z,12,0,0,/boundary/195267,Angola
2025-11-18T00:00:00.000Z,12,0,0,/boundary/195267,Angola
2025-11-19T00:00:00.000Z,12,0,0,/boundary/195267,Angola
2025-11-20T00:00:00.000Z,12,0,0,/boundary/195267,Angola
2025-11-21T00:00:00.000Z,12,0,0,/boundary/195267,Angola
2025-11-22T00:00:00.000Z,12,0,0,/boundary/195267,Angola
2025-11-23T00:00:00.000Z,12,0,0,/boundary/195267,Angola
2025-11-24T00:00:00.000Z,12,0,0,/boundary/195267,Angola
2025-11-25T00:00:00.000Z,12,0,0,/boundary/195267,Angola
2025-11-26T00:00:00.000Z,12,0,0,/boundary/195267,Angola
2025-11-27T00:00:00.000Z,12,0,0,/boundary/195267,Angola
2024-06-01T00:00:00.000Z,1,0,1,/boundary/536900,Antigua and Barbuda
2024-07-01T00:00:00.000Z,1,0,0,/boundary/536900,Antigua and Barbuda
2024-08-01T00:00:00.000Z,1,0,0,/boundary/536900,Antigua and Barbuda
2024-09-01T00:00:00.000Z,1,0,0,/boundary/536900,Antigua and Barbuda
2024-10-01T00:00:00.000Z,1,0,1,/boundary/536900,Antigua and Barbuda
2024-11-01T00:00:00.000Z,1,0,0,/boundary/536900,Antigua and Barbuda
2024-12-01T00:00:00.000Z,1,0,0,/boundary/536900,Antigua and Barbuda
2025-01-01T00:00:00.000Z,1,0,0,/boundary/536900,Antigua and Barbuda
2025-02-01T00:00:00.000Z,1,0,0,/boundary/536900,Antigua and Barbuda
2025-03-01T00:00:00.000Z,1,0,0,/boundary/536900,Antigua and Barbuda
2025-04-01T00:00:00.000Z,2,0,1,/boundary/536900,Antigua and Barbuda
2025-05-01T00:00:00.000Z,2,0,0,/boundary/536900,Antigua and Barbuda
2025-06-01T00:00:00.000Z,2,0,0,/boundary/536900,Antigua and Barbuda
2025-07-01T00:00:00.000Z,2,0,0,/boundary/536900,Antigua and Barbuda
2025-08-01T00:00:00.000Z,2,0,0,/boundary/536900,Antigua and Barbuda
2025-09-01T00:00:00.000Z,2,0,0,/boundary/536900,Antigua and Barbuda
2025-10-01T00:00:00.000Z,2,0,0,/boundary/536900,Antigua and Barbuda
2025-11-01T00:00:00.000Z,2,0,0,/boundary/536900,Antigua and Barbuda
2025-11-02T00:00:00.000Z,2,0,0,/boundary/536900,Antigua and Barbuda
2025-11-03T00:00:00.000Z,2,0,0,/boundary/536900,Antigua and Barbuda
2025-11-04T00:00:00.000Z,2,0,0,/boundary/536900,Antigua and Barbuda
2025-11-05T00:00:00.000Z,2,0,0,/boundary/536900,Antigua and Barbuda
2025-11-06T00:00:00.000Z,2,0,0,/boundary/536900,Antigua and Barbuda
2025-11-07T00:00:00.000Z,2,0,0,/boundary/536900,Antigua and Barbuda
2025-11-08T00:00:00.000Z,2,0,0,/boundary/536900,Antigua and Barbuda
2025-11-09T00:00:00.000Z,2,0,0,/boundary/536900,Antigua and Barbuda
2025-11-10T00:00:00.000Z,2,0,0,/boundary/536900,Antigua and Barbuda
2025-11-11T00:00:00.000Z,2,0,0,/boundary/536900,Antigua and Barbuda
2025-11-12T00:00:00.000Z,2,0,0,/boundary/536900,Antigua and Barbuda
2025-11-13T00:00:00.000Z,2,0,0,/boundary/536900,Antigua and Barbuda
2025-11-14T00:00:00.000Z,2,0,0,/boundary/536900,Antigua and Barbuda
2025-11-15T00:00:00.000Z,2,0,0,/boundary/536900,Antigua and Barbuda
2025-11-16T00:00:00.000Z,2,0,0,/boundary/536900,Antigua and Barbuda
2025-11-17T00:00:00.000Z,2,0,0,/boundary/536900,Antigua and Barbuda
2025-11-18T00:00:00.000Z,2,0,0,/boundary/536900,Antigua and Barbuda
2025-11-19T00:00:00.000Z,2,0,0,/boundary/536900,Antigua and Barbuda
2025-11-20T00:00:00.000Z,2,0,0,/boundary/536900,Antigua and Barbuda
2025-11-21T00:00:00.000Z,2,0,0,/boundary/536900,Antigua and Barbuda
2025-11-22T00:00:00.000Z,2,0,0,/boundary/536900,Antigua and Barbuda
2025-11-23T00:00:00.000Z,2,0,0,/boundary/536900,Antigua and Barbuda
2025-11-24T00:00:00.000Z,2,0,0,/boundary/536900,Antigua and Barbuda
2025-11-25T00:00:00.000Z,2,0,0,/boundary/536900,Antigua and Barbuda
2025-11-26T00:00:00.000Z,2,0,0,/boundary/536900,Antigua and Barbuda
2025-11-27T00:00:00.000Z,2,0,0,/boundary/536900,Antigua and Barbuda
2024-01-01T00:00:00.000Z,0,0,5,/boundary/286393,Argentina
2024-02-01T00:00:00.000Z,6,0,6,/boundary/286393,Argentina
2024-03-01T00:00:00.000Z,14,2,11,/boundary/286393,Argentina
2024-04-01T00:00:00.000Z,18,0,10,/boundary/286393,Argentina
2024-05-01T00:00:00.000Z,21,1,10,/boundary/286393,Argentina
2024-06-01T00:00:00.000Z,23,2,9,/boundary/286393,Argentina
2024-07-01T00:00:00.000Z,25,3,13,/boundary/286393,Argentina
2024-08-01T00:00:00.000Z,32,3,14,/boundary/286393,Argentina
2024-09-01T00:00:00.000Z,35,2,13,/boundary/286393,Argentina
2024-10-01T00:00:00.000Z,40,2,16,/boundary/286393,Argentina
2024-11-01T00:00:00.000Z,45,1,14,/boundary/286393,Argentina
2024-12-01T00:00:00.000Z,51,0,13,/boundary/286393,Argentina
2025-01-01T00:00:00.000Z,53,2,9,/boundary/286393,Argentina
2025-02-01T00:00:00.000Z,55,2,12,/boundary/286393,Argentina
2025-03-01T00:00:00.000Z,57,1,9,/boundary/286393,Argentina
2025-04-01T00:00:00.000Z,59,2,14,/boundary/286393,Argentina
2025-05-01T00:00:00.000Z,63,1,11,/boundary/286393,Argentina
2025-06-01T00:00:00.000Z,69,1,15,/boundary/286393,Argentina
2025-07-01T00:00:00.000Z,74,2,16,/boundary/286393,Argentina
2025-08-01T00:00:00.000Z,77,0,14,/boundary/286393,Argentina
2025-09-01T00:00:00.000Z,83,1,17,/boundary/286393,Argentina
2025-10-01T00:00:00.000Z,88,0,11,/boundary/286393,Argentina
2025-11-01T00:00:00.000Z,90,3,12,/boundary/286393,Argentina
2025-11-02T00:00:00.000Z,92,3,14,/boundary/286393,Argentina
2025-11-03T00:00:00.000Z,92,0,13,/boundary/286393,Argentina
2025-11-04T00:00:00.000Z,92,0,13,/boundary/286393,Argentina
2025-11-05T00:00:00.000Z,92,3,14,/boundary/286393,Argentina
2025-11-06T00:00:00.000Z,92,0,14,/boundary/286393,Argentina
2025-11-07T00:00:00.000Z,92,0,14,/boundary/286393,Argentina
2025-11-08T00:00:00.000Z,92,1,14,/boundary/286393,Argentina
2025-11-09T00:00:00.000Z,92,3,14,/boundary/286393,Argentina
