t,length,area,labels.distribution.amount,labels.distribution.length,labels.distribution.area,labels.transmission.amount,labels.transmission.length,labels.transmission.area,labels.transmission_overhead.amount,labels.transmission_overhead.length,labels.transmission_overhead.area,Country,growth_percent,growth_km
2025-11-13T00:00:00Z,68.0825803600874,0,1,22378.4546584936,0,6,45.7041257015938,0,6,45.7041257015938,0,Chad,1.082646731243e-07,7.37093751013163e-06
2025-11-13T00:00:00Z,22912.4441900349,0,98,279532.710955721,0,2497,22633.8589370556,0,2416,22609.3532540567,0,Chile,0.0092199859900808,209.322464242901
2025-11-13T00:00:00Z,21562.1622555526,0,12,88296.107212223,0,1699,21473.8661483404,0,1698,21473.6451927545,0,Colombia,0.451176181031851,6703.7580608111
2025-11-13T00:00:00Z,2562.9767261944,0,3,54956.5575710266,0,210,2508.02016862337,0,210,2508.02016862337,0,Costa Rica,-0.000822552536287001,-2.10991852541019
2025-11-13T00:00:00Z,9615.95344243588,0,580,2363226.27450158,0,735,7259.20333620549,0,709,7181.77799902034,0,Croatia,0.00622927721607823,59.5296132264812
2025-11-13T00:00:00Z,6224.69360095292,0,1,50.2550272652612,0,1200,6224.64334592565,0,1200,6224.64334592565,0,Cuba,4.31691073840927e-05,0.268702866829699
2025-11-13T00:00:00Z,16297.2678721773,0,3009,3059078.29639249,0,4347,13334.4672620309,0,4307,13270.4554079211,0,Czech Republic,0.0048849531221117,79.2243821810007
2025-11-13T00:00:00Z,7878.73584755415,0,28,136372.98402083,0,275,7742.36286353332,0,275,7742.36286353332,0,Democratic Republic of the Congo,0.0199613411377014,154.1922498861
2025-11-13T00:00:00Z,304.398431800839,0,,,,55,304.398431800839,0,46,302.328560024612,0,Djibouti,-0.0837447481002005,-27.821690451871
2025-11-13T00:00:00Z,2263.97706493097,0,,,,226,2263.97706493097,0,226,2263.97706493097,0,Dominican Republic,0.00773921333644491,17.3868410224
2025-11-13T00:00:00Z,597.645208363551,0,,,,49,597.645208363551,0,49,597.645208363551,0,East Timor,0,0
2025-11-13T00:00:00Z,9305.21934379972,0,17,57978.4466380304,0,712,9247.24089716169,0,711,9244.97634662799,0,Ecuador,0.139793913312234,1141.27037449981
2025-11-13T00:00:00Z,30071.3534758789,0,,,,2037,30071.3534758789,0,1999,30010.6612309242,0,Egypt,0.00220119684915475,66.0475847853995
2025-11-13T00:00:00Z,1487.14192702859,0,,,,95,1487.14192702859,0,94,1485.39430434076,0,El Salvador,2.01818835263934e-14,3.00133251585066e-11
2025-11-13T00:00:00Z,982.529695321168,0,,,,27,982.529695321168,0,27,982.529695321168,0,Equatorial Guinea,0.0452608961434829,42.544569171097
2025-11-13T00:00:00Z,226.5769956135,0,,,,6,226.5769956135,0,6,226.5769956135,0,Eritrea,-0.00210872878698418,-0.478799090543987
2025-11-13T00:00:00Z,7428.96701533839,0,940,2662047.59792771,0,859,4804.3303368659,0,820,4493.26800481238,0,Estonia,-0.00517150926879865,-38.6186886838996
2025-11-13T00:00:00Z,821.785577537706,0,,,,58,821.785577537706,0,58,821.785577537706,0,Eswatini,4.17989533970235e-07,0.000343497627000033
2025-11-13T00:00:00Z,16680.2183565396,0,9,31839.4073350736,0,1627,16648.3789492045,0,1613,16644.4174135049,0,Ethiopia,0.0363674995784123,585.330815850601
2025-11-13T00:00:00Z,9.41123596572245,0,3,9411.23596572245,0,,,,,,,Federated States of Micronesia,0,0
2025-11-13T00:00:00Z,452.201062886625,0,11,208156.374512404,0,15,244.044688374221,0,15,244.044688374221,0,Fiji,0.0411273424084535,17.863163508685
2025-11-13T00:00:00Z,23559.9822261837,0,115,732625.959911026,0,2612,22854.4550347762,0,2535,22423.0615780207,0,Finland,0.0111969063265213,260.877888758001
2025-11-13T00:00:00Z,95789.1061711657,0,22395,7437543.34122013,0,39309,88441.2642549233,0,35048,81285.0718838631,0,France,0.0240725271476554,2251.6821783879
2025-11-13T00:00:00Z,451.259122805918,0,,,,20,451.259122805918,0,20,451.259122805918,0,Gabon,0.027009556218668,11.867765565385
2025-11-13T00:00:00Z,5524.15182347038,0,86,320559.888695665,0,672,5203.59193477472,0,672,5203.59193477472,0,Georgia,0.053068246789092,278.3837164991
2025-11-13T00:00:00Z,67799.6334727033,0,5116,3401491.85391772,0,48594,65638.7691704022,0,47035,61703.8954731824,0,Germany,0.000875888414892052,59.3329444539995
2025-11-13T00:00:00Z,5716.40022024854,0,6,1607.91689813112,0,332,5714.79230335041,0,330,5714.69773332031,0,Ghana,0.0208075861627761,116.51999038413
2025-11-13T00:00:00Z,13078.2229774289,0,24,62469.5002211635,0,1321,12965.0016993412,0,1276,12323.934928858,0,Greece,0.0565702684679191,700.226579335102
2025-11-13T00:00:00Z,0.0263346870075086,0,1,26.3346870075086,0,,,,,,,Grenada,0,0
2025-11-13T00:00:00Z,2677.20495875038,0,1,13403.8760448873,0,415,2677.20495875038,0,415,2677.20495875038,0,Guatemala,0.0378594357871438,97.6601124678896
2025-11-13T00:00:00Z,1614.36332602297,0,1,1039.66871276936,0,64,1613.3236573102,0,64,1613.3236573102,0,Guinea,-0.00200487320457964,-3.2430957706099
2025-11-13T00:00:00Z,317.025619146483,0,,,,21,317.025619146483,0,21,317.025619146483,0,Guinea-Bissau,0,0
