t,amount_1d,amount_30d,labels.distribution.amount_1d,labels.distribution.amount_30d,labels.generation.amount_1d,labels.generation.amount_30d,labels.industrial.amount_1d,labels.industrial.amount_30d,labels.transmission.amount_1d,labels.transmission.amount_30d,id_relation,Pays
2025-10-28T00:00:00.000Z,0,1,,,,,0,1,,,/boundary/192756,Algeria
2025-10-29T00:00:00.000Z,0,1,,,,,0,1,,,/boundary/192756,Algeria
2025-10-30T00:00:00.000Z,0,1,,,,,0,1,,,/boundary/192756,Algeria
2025-10-31T00:00:00.000Z,0,1,,,,,0,1,,,/boundary/192756,Algeria
2025-11-01T00:00:00.000Z,0,1,,,,,0,1,,,/boundary/192756,Algeria
2025-11-02T00:00:00.000Z,1,2,,,,,0,1,1,1,/boundary/192756,Algeria
2025-11-03T00:00:00.000Z,0,2,,,,,0,1,0,1,/boundary/192756,Algeria
2025-11-04T00:00:00.000Z,0,2,,,,,0,1,0,1,/boundary/192756,Algeria
2025-11-05T00:00:00.000Z,0,2,,,,,0,1,0,1,/boundary/192756,Algeria
2025-11-06T00:00:00.000Z,0,2,,,,,0,1,0,1,/boundary/192756,Algeria
2024-03-01T00:00:00.000Z,0,1,,,,,,,0,1,/boundary/9407,Andorra
2024-09-01T00:00:00.000Z,0,1,,,,,,,,,/boundary/9407,Andorra
2024-10-01T00:00:00.000Z,0,1,0,1,,,,,0,1,/boundary/9407,Andorra
2024-11-01T00:00:00.000Z,0,1,0,1,,,,,0,1,/boundary/9407,Andorra
2024-01-01T00:00:00.000Z,0,2,,,,,,,,,/boundary/195267,Angola
2024-03-01T00:00:00.000Z,0,1,,,,,,,,,/boundary/195267,Angola
2024-05-01T00:00:00.000Z,0,1,,,,,,,,,/boundary/195267,Angola
2024-07-01T00:00:00.000Z,0,1,0,1,,,,,,,/boundary/195267,Angola
2024-09-01T00:00:00.000Z,0,1,,,,,,,,,/boundary/195267,Angola
2024-10-01T00:00:00.000Z,0,1,,,,,,,,,/boundary/195267,Angola
2024-11-01T00:00:00.000Z,0,1,,,,,,,,,/boundary/195267,Angola
2024-12-01T00:00:00.000Z,0,1,,,,,,,0,1,/boundary/195267,Angola
2025-04-01T00:00:00.000Z,0,1,,,,,,,,,/boundary/195267,Angola
2025-07-01T00:00:00.000Z,0,1,,,,,,,,,/boundary/195267,Angola
2025-10-01T00:00:00.000Z,0,1,,,,,,,0,1,/boundary/195267,Angola
2025-10-02T00:00:00.000Z,0,1,,,,,,,0,1,/boundary/195267,Angola
2025-10-03T00:00:00.000Z,0,1,,,,,,,0,1,/boundary/195267,Angola
2025-10-04T00:00:00.000Z,0,1,,,,,,,0,1,/boundary/195267,Angola
2025-10-05T00:00:00.000Z,0,1,,,,,,,0,1,/boundary/195267,Angola
2025-10-06T00:00:00.000Z,0,1,,,,,,,0,1,/boundary/195267,Angola
2025-10-07T00:00:00.000Z,0,1,,,,,,,0,1,/boundary/195267,Angola
2025-10-08T00:00:00.000Z,0,1,,,,,,,0,1,/boundary/195267,Angola
2025-10-09T00:00:00.000Z,0,1,,,,,,,0,1,/boundary/195267,Angola
2025-10-10T00:00:00.000Z,0,1,,,,,,,0,1,/boundary/195267,Angola
2025-10-11T00:00:00.000Z,0,1,,,,,,,0,1,/boundary/195267,Angola
2025-10-12T00:00:00.000Z,0,1,,,,,,,0,1,/boundary/195267,Angola
2025-10-13T00:00:00.000Z,1,1,,,,,,,1,1,/boundary/195267,Angola
2025-10-14T00:00:00.000Z,0,1,,,,,,,0,1,/boundary/195267,Angola
2025-10-15T00:00:00.000Z,0,1,,,,,,,0,1,/boundary/195267,Angola
2025-10-16T00:00:00.000Z,0,1,,,,,,,0,1,/boundary/195267,Angola
2025-10-17T00:00:00.000Z,0,1,,,,,,,0,1,/boundary/195267,Angola
2025-10-18T00:00:00.000Z,0,1,,,,,,,0,1,/boundary/195267,Angola
2025-10-19T00:00:00.000Z,0,1,,,,,,,0,1,/boundary/195267,Angola
2025-10-20T00:00:00.000Z,0,1,,,,,,,0,1,/boundary/195267,Angola
2025-10-21T00:00:00.000Z,0,1,,,,,,,0,1,/boundary/195267,Angola
2025-10-22T00:00:00.000Z,0,1,,,,,,,0,1,/boundary/195267,Angola
2025-10-23T00:00:00.000Z,0,1,,,,,,,0,1,/boundary/195267,Angola
2025-10-24T00:00:00.000Z,0,1,,,,,,,0,1,/boundary/195267,Angola
2025-10-25T00:00:00.000Z,0,1,,,,,,,0,1,/boundary/195267,Angola
2025-10-26T00:00:00.000Z,0,1,,,,,,,0,1,/boundary/195267,Angola
