t,amount,length,labels.distribution.amount,labels.distribution.length,labels.transmission.amount,labels.transmission.length,labels.transmission_overhead.amount,labels.transmission_overhead.length,id_relation,Pays
2025-10-18T00:00:00.000Z,126,3689.09782461164,,,126,3689.09782461164,126,3689.09782461164,/boundary/303427,Afghanistan
2025-10-19T00:00:00.000Z,126,3689.09782461164,,,126,3689.09782461164,126,3689.09782461164,/boundary/303427,Afghanistan
2025-10-20T00:00:00.000Z,126,3689.09782461164,,,126,3689.09782461164,126,3689.09782461164,/boundary/303427,Afghanistan
2025-10-21T00:00:00.000Z,126,3689.09782461164,,,126,3689.09782461164,126,3689.09782461164,/boundary/303427,Afghanistan
2025-10-22T00:00:00.000Z,126,3689.09782461164,,,126,3689.09782461164,126,3689.09782461164,/boundary/303427,Afghanistan
2025-10-23T00:00:00.000Z,126,3689.09782461164,,,126,3689.09782461164,126,3689.09782461164,/boundary/303427,Afghanistan
2025-10-24T00:00:00.000Z,126,3689.09782461164,,,126,3689.09782461164,126,3689.09782461164,/boundary/303427,Afghanistan
2025-10-25T00:00:00.000Z,126,3689.09782461164,,,126,3689.09782461164,126,3689.09782461164,/boundary/303427,Afghanistan
2025-10-26T00:00:00.000Z,126,3689.09782461164,,,126,3689.09782461164,126,3689.09782461164,/boundary/303427,Afghanistan
2025-10-27T00:00:00.000Z,126,3689.09782461164,,,126,3689.09782461164,126,3689.09782461164,/boundary/303427,Afghanistan
2025-10-28T00:00:00.000Z,126,3689.09782461164,,,126,3689.09782461164,126,3689.09782461164,/boundary/303427,Afghanistan
2025-10-29T00:00:00.000Z,126,3689.09782461164,,,126,3689.09782461164,126,3689.09782461164,/boundary/303427,Afghanistan
2025-10-30T00:00:00.000Z,126,3689.09782461164,,,126,3689.09782461164,126,3689.09782461164,/boundary/303427,Afghanistan
2024-10-01T00:00:00.000Z,355,2587.26396886361,20,54484.0901581558,335,2532.77987870545,335,2532.77987870545,/boundary/53292,Albania
2024-11-01T00:00:00.000Z,353,2649.92861015788,20,54484.0901581558,333,2595.44451999973,333,2595.44451999973,/boundary/53292,Albania
2024-12-01T00:00:00.000Z,355,2649.24475990638,20,54484.0901581558,335,2594.76066974823,335,2594.76066974823,/boundary/53292,Albania
2025-01-01T00:00:00.000Z,355,2649.24441368275,20,54484.0901581558,335,2594.7603235246,335,2594.7603235246,/boundary/53292,Albania
2025-02-01T00:00:00.000Z,356,2648.66178697825,20,54484.0901581558,336,2594.1776968201,336,2594.1776968201,/boundary/53292,Albania
2025-03-01T00:00:00.000Z,356,2649.00019849593,20,54484.0901581558,336,2594.51610833777,336,2594.51610833777,/boundary/53292,Albania
2025-04-01T00:00:00.000Z,358,2691.55639549804,20,54484.0901581558,338,2637.07230533989,338,2637.07230533989,/boundary/53292,Albania
2025-05-01T00:00:00.000Z,358,2691.99992202585,20,54484.0901581558,338,2637.51583186769,338,2637.51583186769,/boundary/53292,Albania
2025-06-01T00:00:00.000Z,365,2692.32541893719,20,54484.0901581558,345,2637.84132877904,345,2637.84132877904,/boundary/53292,Albania
2025-07-01T00:00:00.000Z,365,2692.32541893719,20,54484.0901581558,345,2637.84132877904,345,2637.84132877904,/boundary/53292,Albania
2025-08-01T00:00:00.000Z,365,2692.32541893719,20,54484.0901581558,345,2637.84132877904,345,2637.84132877904,/boundary/53292,Albania
2025-09-01T00:00:00.000Z,365,2692.32794579672,20,54484.0901581558,345,2637.84385563857,345,2637.84385563857,/boundary/53292,Albania
2025-10-01T00:00:00.000Z,365,2692.32794579672,20,54484.0901581558,345,2637.84385563857,345,2637.84385563857,/boundary/53292,Albania
2025-10-02T00:00:00.000Z,365,2692.32794579672,20,54484.0901581558,345,2637.84385563857,345,2637.84385563857,/boundary/53292,Albania
2025-10-03T00:00:00.000Z,365,2692.32794579672,20,54484.0901581558,345,2637.84385563857,345,2637.84385563857,/boundary/53292,Albania
2025-10-04T00:00:00.000Z,365,2692.32794579672,20,54484.0901581558,345,2637.84385563857,345,2637.84385563857,/boundary/53292,Albania
2025-10-05T00:00:00.000Z,365,2692.32794579672,20,54484.0901581558,345,2637.84385563857,345,2637.84385563857,/boundary/53292,Albania
2025-10-06T00:00:00.000Z,365,2692.32794579672,20,54484.0901581558,345,2637.84385563857,345,2637.84385563857,/boundary/53292,Albania
2025-10-07T00:00:00.000Z,365,2692.32794579672,20,54484.0901581558,345,2637.84385563857,345,2637.84385563857,/boundary/53292,Albania
2025-10-08T00:00:00.000Z,365,2692.32794579672,20,54484.0901581558,345,2637.84385563857,345,2637.84385563857,/boundary/53292,Albania
2025-10-09T00:00:00.000Z,365,2692.32794579672,20,54484.0901581558,345,2637.84385563857,345,2637.84385563857,/boundary/53292,Albania
2025-10-10T00:00:00.000Z,365,2692.32794579672,20,54484.0901581558,345,2637.84385563857,345,2637.84385563857,/boundary/53292,Albania
2025-10-11T00:00:00.000Z,365,2692.32794579672,20,54484.0901581558,345,2637.84385563857,345,2637.84385563857,/boundary/53292,Albania
2025-10-12T00:00:00.000Z,365,2692.32895574927,20,54484.0901581558,345,2637.84486559111,345,2637.84486559111,/boundary/53292,Albania
2025-10-13T00:00:00.000Z,365,2692.32895574927,20,54484.0901581558,345,2637.84486559111,345,2637.84486559111,/boundary/53292,Albania
2025-10-14T00:00:00.000Z,365,2692.32895574927,20,54484.0901581558,345,2637.84486559111,345,2637.84486559111,/boundary/53292,Albania
2025-10-15T00:00:00.000Z,365,2692.32895574927,20,54484.0901581558,345,2637.84486559111,345,2637.84486559111,/boundary/53292,Albania
2025-10-16T00:00:00.000Z,365,2692.32895574927,20,54484.0901581558,345,2637.84486559111,345,2637.84486559111,/boundary/53292,Albania
2025-10-17T00:00:00.000Z,365,2692.32895574927,20,54484.0901581558,345,2637.84486559111,345,2637.84486559111,/boundary/53292,Albania
2025-10-18T00:00:00.000Z,365,2692.32895574927,20,54484.0901581558,345,2637.84486559111,345,2637.84486559111,/boundary/53292,Albania
2025-10-19T00:00:00.000Z,365,2692.32895574927,20,54484.0901581558,345,2637.84486559111,345,2637.84486559111,/boundary/53292,Albania
2025-10-20T00:00:00.000Z,365,2692.32895574927,20,54484.0901581558,345,2637.84486559111,345,2637.84486559111,/boundary/53292,Albania
2025-10-21T00:00:00.000Z,365,2692.32895574927,20,54484.0901581558,345,2637.84486559111,345,2637.84486559111,/boundary/53292,Albania
2025-10-22T00:00:00.000Z,365,2692.32895574927,20,54484.0901581558,345,2637.84486559111,345,2637.84486559111,/boundary/53292,Albania
2025-10-23T00:00:00.000Z,365,2692.32895574927,20,54484.0901581558,345,2637.84486559111,345,2637.84486559111,/boundary/53292,Albania
2025-10-24T00:00:00.000Z,365,2692.32895574927,20,54484.0901581558,345,2637.84486559111,345,2637.84486559111,/boundary/53292,Albania
2025-10-25T00:00:00.000Z,365,2692.32895574927,20,54484.0901581558,345,2637.84486559111,345,2637.84486559111,/boundary/53292,Albania
2025-10-26T00:00:00.000Z,365,2692.32895574927,20,54484.0901581558,345,2637.84486559111,345,2637.84486559111,/boundary/53292,Albania
2025-10-27T00:00:00.000Z,365,2692.32895574927,20,54484.0901581558,345,2637.84486559111,345,2637.84486559111,/boundary/53292,Albania
2025-10-28T00:00:00.000Z,365,2692.32895574927,20,54484.0901581558,345,2637.84486559111,345,2637.84486559111,/boundary/53292,Albania
2025-10-29T00:00:00.000Z,365,2692.29800151668,20,54484.0901581558,345,2637.81391135852,345,2637.81391135852,/boundary/53292,Albania
2025-10-30T00:00:00.000Z,365,2692.29800151668,20,54484.0901581558,345,2637.81391135852,345,2637.81391135852,/boundary/53292,Albania
2024-10-01T00:00:00.000Z,1549,31452.7767124144,28,295323.278921207,1520,31154.0145379446,1505,31141.786202434,/boundary/192756,Algeria
2024-11-01T00:00:00.000Z,1550,31457.0293183197,28,295323.278921207,1521,31158.2671438499,1505,31141.786202434,/boundary/192756,Algeria
2024-12-01T00:00:00.000Z,1550,31456.8057386475,28,295323.278921207,1521,31158.0435641778,1505,31141.5626227618,/boundary/192756,Algeria
2025-01-01T00:00:00.000Z,1568,31860.3281152723,28,295323.278921207,1539,31561.5659408026,1523,31545.0849993867,/boundary/192756,Algeria
2025-02-01T00:00:00.000Z,1577,32188.1782532175,28,295323.278921207,1548,31889.4160787478,1532,31872.9351373318,/boundary/192756,Algeria
2025-03-01T00:00:00.000Z,1577,32192.7630762452,28,295323.278921207,1548,31894.0009017755,1532,31877.5199603595,/boundary/192756,Algeria
2025-04-01T00:00:00.000Z,1581,32324.8626327868,28,295323.278921207,1552,32026.1004583171,1536,32009.6195169011,/boundary/192756,Algeria
2025-05-01T00:00:00.000Z,1618,32558.0622069215,28,295323.278921207,1589,32259.3000324518,1573,32242.8190910359,/boundary/192756,Algeria
2025-06-01T00:00:00.000Z,1618,32558.0692177747,28,295323.278921207,1589,32259.307043305,1573,32242.8261018891,/boundary/192756,Algeria
2025-07-01T00:00:00.000Z,1620,32601.8986196032,29,296982.755978452,1590,32301.4769680762,1574,32284.9960266603,/boundary/192756,Algeria
