t,amount,length,labels.distribution.amount,labels.distribution.length,labels.generation.amount,labels.generation.length,labels.industrial.amount,labels.industrial.length,labels.transmission.amount,labels.transmission.length,id_relation,Pays
2025-10-25T00:00:00.000Z,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,40,27931.3203199997,/boundary/303427,Afghanistan
2025-10-26T00:00:00.000Z,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,40,27931.3203199997,/boundary/303427,Afghanistan
2025-10-27T00:00:00.000Z,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,40,27931.3203199997,/boundary/303427,Afghanistan
2025-10-28T00:00:00.000Z,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,40,27931.3203199997,/boundary/303427,Afghanistan
2025-10-29T00:00:00.000Z,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,40,27931.3203199997,/boundary/303427,Afghanistan
2025-10-30T00:00:00.000Z,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,40,27931.3203199997,/boundary/303427,Afghanistan
2024-10-01T00:00:00.000Z,244,35006.8560949032,244,35006.8560949032,244,35006.8560949032,244,35006.8560949032,28,13330.1383703785,/boundary/53292,Albania
2024-11-01T00:00:00.000Z,244,35006.8560949032,244,35006.8560949032,244,35006.8560949032,244,35006.8560949032,28,13330.1383703785,/boundary/53292,Albania
2024-12-01T00:00:00.000Z,245,35118.9679462649,245,35118.9679462649,245,35118.9679462649,245,35118.9679462649,30,14800.0477505294,/boundary/53292,Albania
2025-01-01T00:00:00.000Z,246,35137.2186690088,246,35137.2186690088,246,35137.2186690088,246,35137.2186690088,30,14800.0477505294,/boundary/53292,Albania
2025-02-01T00:00:00.000Z,246,35137.2186690088,246,35137.2186690088,246,35137.2186690088,246,35137.2186690088,30,14800.0477505294,/boundary/53292,Albania
2025-03-01T00:00:00.000Z,252,35587.6629002533,252,35587.6629002533,252,35587.6629002533,252,35587.6629002533,30,14800.0477505294,/boundary/53292,Albania
2025-04-01T00:00:00.000Z,252,35587.6629002533,252,35587.6629002533,252,35587.6629002533,252,35587.6629002533,30,14800.0477505294,/boundary/53292,Albania
2025-05-01T00:00:00.000Z,253,35749.7399510365,253,35749.7399510365,253,35749.7399510365,253,35749.7399510365,30,14800.0477505294,/boundary/53292,Albania
2025-06-01T00:00:00.000Z,253,33128.8566067478,253,33128.8566067478,253,33128.8566067478,253,33128.8566067478,28,12159.6996736098,/boundary/53292,Albania
2025-07-01T00:00:00.000Z,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,28,12159.6996736098,/boundary/53292,Albania
2025-08-01T00:00:00.000Z,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,28,12159.6996736098,/boundary/53292,Albania
2025-09-01T00:00:00.000Z,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,28,12159.6996736098,/boundary/53292,Albania
2025-10-01T00:00:00.000Z,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,28,12159.6996736098,/boundary/53292,Albania
2025-10-02T00:00:00.000Z,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,28,12159.6996736098,/boundary/53292,Albania
2025-10-03T00:00:00.000Z,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,28,12159.6996736098,/boundary/53292,Albania
2025-10-04T00:00:00.000Z,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,28,12159.6996736098,/boundary/53292,Albania
2025-10-05T00:00:00.000Z,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,28,12159.6996736098,/boundary/53292,Albania
2025-10-06T00:00:00.000Z,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,28,12159.6996736098,/boundary/53292,Albania
2025-10-07T00:00:00.000Z,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,28,12159.6996736098,/boundary/53292,Albania
2025-10-08T00:00:00.000Z,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,28,12159.6996736098,/boundary/53292,Albania
2025-10-09T00:00:00.000Z,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,28,12159.6996736098,/boundary/53292,Albania
2025-10-10T00:00:00.000Z,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,28,12159.6996736098,/boundary/53292,Albania
2025-10-11T00:00:00.000Z,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,28,12159.6996736098,/boundary/53292,Albania
2025-10-12T00:00:00.000Z,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,28,12159.6996736098,/boundary/53292,Albania
2025-10-13T00:00:00.000Z,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,28,12159.6996736098,/boundary/53292,Albania
2025-10-14T00:00:00.000Z,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,28,12159.6996736098,/boundary/53292,Albania
2025-10-15T00:00:00.000Z,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,28,12159.6996736098,/boundary/53292,Albania
2025-10-16T00:00:00.000Z,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,28,12159.6996736098,/boundary/53292,Albania
2025-10-17T00:00:00.000Z,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,28,12159.6996736098,/boundary/53292,Albania
2025-10-18T00:00:00.000Z,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,28,12159.6996736098,/boundary/53292,Albania
2025-10-19T00:00:00.000Z,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,28,12159.6996736098,/boundary/53292,Albania
2025-10-20T00:00:00.000Z,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,28,12159.6996736098,/boundary/53292,Albania
2025-10-21T00:00:00.000Z,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,28,12159.6996736098,/boundary/53292,Albania
2025-10-22T00:00:00.000Z,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,28,12159.6996736098,/boundary/53292,Albania
2025-10-23T00:00:00.000Z,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,28,12159.6996736098,/boundary/53292,Albania
2025-10-24T00:00:00.000Z,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,28,12159.6996736098,/boundary/53292,Albania
2025-10-25T00:00:00.000Z,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,28,12159.6996736098,/boundary/53292,Albania
2025-10-26T00:00:00.000Z,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,28,12159.6996736098,/boundary/53292,Albania
2025-10-27T00:00:00.000Z,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,28,12159.6996736098,/boundary/53292,Albania
2025-10-28T00:00:00.000Z,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,28,12159.6996736098,/boundary/53292,Albania
2025-10-29T00:00:00.000Z,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,28,12159.6996736098,/boundary/53292,Albania
2025-10-30T00:00:00.000Z,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,254,33128.8566067478,28,12159.6996736098,/boundary/53292,Albania
2024-10-01T00:00:00.000Z,727,243203.591767471,727,243203.591767471,727,243203.591767471,727,243203.591767471,269,153447.729464913,/boundary/192756,Algeria
2024-11-01T00:00:00.000Z,727,243203.634402621,727,243203.634402621,727,243203.634402621,727,243203.634402621,269,153447.772100063,/boundary/192756,Algeria
2024-12-01T00:00:00.000Z,730,244861.321051689,730,244861.321051689,730,244861.321051689,730,244861.321051689,269,153447.772100063,/boundary/192756,Algeria
2025-01-01T00:00:00.000Z,730,244861.321052534,730,244861.321052534,730,244861.321052534,730,244861.321052534,276,157197.108409663,/boundary/192756,Algeria
2025-02-01T00:00:00.000Z,734,246528.457512246,734,246528.457512246,734,246528.457512246,734,246528.457512246,278,157741.123352394,/boundary/192756,Algeria
2025-03-01T00:00:00.000Z,738,248166.643985555,738,248166.643985555,738,248166.643985555,738,248166.643985555,278,157741.123352394,/boundary/192756,Algeria
2025-04-01T00:00:00.000Z,741,251076.928483098,741,251076.928483098,741,251076.928483098,741,251076.928483098,281,161475.180027149,/boundary/192756,Algeria
2025-05-01T00:00:00.000Z,747,253496.614827905,747,253496.614827905,747,253496.614827905,747,253496.614827905,284,162955.507445116,/boundary/192756,Algeria
2025-06-01T00:00:00.000Z,751,253512.216966948,751,253512.216966948,751,253512.216966948,751,253512.216966948,286,163440.790901731,/boundary/192756,Algeria
2025-07-01T00:00:00.000Z,758,255554.439774465,758,255554.439774465,758,255554.439774465,758,255554.439774465,287,164091.620200037,/boundary/192756,Algeria
2025-08-01T00:00:00.000Z,758,255554.439774465,758,255554.439774465,758,255554.439774465,758,255554.439774465,287,164091.620200037,/boundary/192756,Algeria
2025-09-01T00:00:00.000Z,761,256369.927067829,761,256369.927067829,761,256369.927067829,761,256369.927067829,288,164091.330260446,/boundary/192756,Algeria
2025-10-01T00:00:00.000Z,765,258112.693867372,765,258112.693867372,765,258112.693867372,765,258112.693867372,292,165834.097059988,/boundary/192756,Algeria
2025-10-02T00:00:00.000Z,765,258112.693867372,765,258112.693867372,765,258112.693867372,765,258112.693867372,292,165834.097059988,/boundary/192756,Algeria
2025-10-03T00:00:00.000Z,765,258112.693867372,765,258112.693867372,765,258112.693867372,765,258112.693867372,292,165834.097059988,/boundary/192756,Algeria
2025-10-04T00:00:00.000Z,765,258112.693867372,765,258112.693867372,765,258112.693867372,765,258112.693867372,292,165834.097059988,/boundary/192756,Algeria
2025-10-05T00:00:00.000Z,765,258112.693867372,765,258112.693867372,765,258112.693867372,765,258112.693867372,292,165834.097059988,/boundary/192756,Algeria
2025-10-06T00:00:00.000Z,765,258112.693867372,765,258112.693867372,765,258112.693867372,765,258112.693867372,292,165834.097059988,/boundary/192756,Algeria
2025-10-07T00:00:00.000Z,765,258112.693867372,765,258112.693867372,765,258112.693867372,765,258112.693867372,292,165834.097059988,/boundary/192756,Algeria
2025-10-08T00:00:00.000Z,765,258112.693867372,765,258112.693867372,765,258112.693867372,765,258112.693867372,292,165834.097059988,/boundary/192756,Algeria
2025-10-09T00:00:00.000Z,765,258112.693867372,765,258112.693867372,765,258112.693867372,765,258112.693867372,292,165834.097059988,/boundary/192756,Algeria
2025-10-10T00:00:00.000Z,765,258112.693867372,765,258112.693867372,765,258112.693867372,765,258112.693867372,292,165834.097059988,/boundary/192756,Algeria
2025-10-11T00:00:00.000Z,765,258112.693867372,765,258112.693867372,765,258112.693867372,765,258112.693867372,292,165834.097059988,/boundary/192756,Algeria
2025-10-12T00:00:00.000Z,765,258112.693867372,765,258112.693867372,765,258112.693867372,765,258112.693867372,292,165834.097059988,/boundary/192756,Algeria
2025-10-13T00:00:00.000Z,765,258112.693867372,765,258112.693867372,765,258112.693867372,765,258112.693867372,292,165834.097059988,/boundary/192756,Algeria
2025-10-14T00:00:00.000Z,765,258112.693867372,765,258112.693867372,765,258112.693867372,765,258112.693867372,292,165834.097059988,/boundary/192756,Algeria
2025-10-15T00:00:00.000Z,765,258112.693867372,765,258112.693867372,765,258112.693867372,765,258112.693867372,292,165834.097059988,/boundary/192756,Algeria
2025-10-16T00:00:00.000Z,765,258112.693867372,765,258112.693867372,765,258112.693867372,765,258112.693867372,292,165834.097059988,/boundary/192756,Algeria
2025-10-17T00:00:00.000Z,766,258188.728866764,766,258188.728866764,766,258188.728866764,766,258188.728866764,292,165834.097059988,/boundary/192756,Algeria
2025-10-18T00:00:00.000Z,766,258188.728866764,766,258188.728866764,766,258188.728866764,766,258188.728866764,292,165834.097059988,/boundary/192756,Algeria
2025-10-19T00:00:00.000Z,766,258188.728866764,766,258188.728866764,766,258188.728866764,766,258188.728866764,292,165834.097059988,/boundary/192756,Algeria
2025-10-20T00:00:00.000Z,766,258188.728866764,766,258188.728866764,766,258188.728866764,766,258188.728866764,292,165834.097059988,/boundary/192756,Algeria
