t,length,labels.distribution.amount,labels.distribution.length,labels.transmission.amount,labels.transmission.length,labels.transmission_overhead.amount,labels.transmission_overhead.length,Country,growth_percent,growth_km
2025-10-30T00:00:00Z,24451.7400489594,78,815545.797165528,1480,23636.1942517939,1469,23586.5123874443,Morocco,0.0117062340285887,282.9257958405
2025-10-30T00:00:00Z,10273.4401292618,4,11486.9930077656,187,10261.953136254,186,10261.3791471374,Mozambique,0.0243450511135377,244.1632580612
2025-10-30T00:00:00Z,11998.8159056303,48,343296.776187802,407,11658.5176775729,407,11658.5176775729,Myanmar,-0.128878557777025,-1775.1716511575
2025-10-30T00:00:00Z,11982.7784258832,56,372391.208964704,264,11610.3872169185,264,11610.3872169185,Namibia,5.77160465650427e-06,0.0691594605996215
2025-10-30T00:00:00Z,4099.09151989281,7,111125.813251482,407,3987.96570664133,407,3987.96570664133,Nepal,0.413104126324521,1198.32048431843
2025-10-30T00:00:00Z,14267.8017647314,2042,1543493.24382493,2380,12744.3284375859,2293,12440.8457955983,New Zealand,0.0737801228733085,980.349835976702
2025-10-30T00:00:00Z,2587.87065985688,,,215,2587.87065985688,215,2587.87065985688,Nicaragua,0.0831339083345025,198.62715086531
2025-10-30T00:00:00Z,1076.66921619824,,,30,1076.66921619824,30,1076.66921619824,Niger,0.0174256841095085,18.4403617334701
2025-10-30T00:00:00Z,13447.8092946944,54,38211.4137634632,477,13409.597880931,477,13409.597880931,Nigeria,0.0479788655554119,615.6714179756
2025-10-30T00:00:00Z,2418.4020095676,,,305,2418.4020095676,304,2417.65256600698,North Korea,0.0527701019974732,121.22240218794
2025-10-30T00:00:00Z,2458.61007786138,1,22401.9359216617,263,2436.20814193971,261,2431.24404096343,North Macedonia,0.302107311378487,570.4323091193
2025-10-30T00:00:00Z,9870.73968535289,,,757,9864.53931969301,657,9792.7527040849,Oman,0.00562557026714495,55.2179074701708
2025-10-30T00:00:00Z,31289.6709482834,11,154834.164917267,1461,31134.8367833661,1461,31134.8367833661,Pakistan,0.0524734862226756,1560.0185077436
2025-10-30T00:00:00Z,2123.72734885867,,,124,2123.72734885867,124,2123.72734885867,Panama,0.00020862719840868,0.442974870370108
2025-10-30T00:00:00Z,751.645557024646,1,26432.6027020941,60,725.212954322551,60,725.212954322551,Papua New Guinea,0,0
2025-10-30T00:00:00Z,4704.10220745952,18,419.485486880454,318,4703.68272197264,302,4702.15436170925,Paraguay,0.0303563048435252,138.59201904571
2025-10-30T00:00:00Z,827390.817282224,7973,7089242.52983104,122306,820439.702960487,121251,819076.646467488,People's Republic of China,0.0835683857100787,63811.1224574969
2025-10-30T00:00:00Z,15775.3440382186,9,89302.1812585255,525,15686.0418569601,525,15686.0418569601,Peru,0.002496841330176,39.2904290252991
2025-10-30T00:00:00Z,15036.8915658334,218,216170.328444072,2718,14823.3915781425,2658,14509.9309958496,Philippines,0.0664601333538527,937.075646278401
2025-10-30T00:00:00Z,49532.8142439656,18599,5530009.60989424,16588,44259.8708908163,15237,42298.4830505383,Poland,0.054020157286502,2538.6330591539
2025-10-30T00:00:00Z,18351.7802957484,1452,356177.204099885,6159,18017.4106839951,5616,17638.9889270056,Portugal,0.0540929860991262,941.759986569898
2025-10-30T00:00:00Z,1106.23445115491,12,647.728708713966,208,1105.58672244619,138,989.161173298369,Qatar,0,0
2025-10-30T00:00:00Z,8472.68712720413,1713,810175.632377888,2116,7672.46460412665,1708,6852.20319733319,Republic of Ireland,0.0211514658191946,175.49771818035
2025-10-30T00:00:00Z,1611.50720163449,,,44,1611.50720163449,44,1611.50720163449,Republic of the Congo,0.00926727296931753,14.7971479206201
2025-10-30T00:00:00Z,24703.223453313,57,127599.781628146,2169,24579.2085991036,2163,24575.6189633363,Romania,0.00670634600050927,164.564735748401
2025-10-30T00:00:00Z,495582.69918263,25367,125830870.354398,44638,370998.601919838,43850,370081.00118821,Russia,0.0597943565103703,27961.1307734
2025-10-30T00:00:00Z,1357.08567505166,,,63,1357.08567505166,63,1357.08567505166,Rwanda,0.0407439064698457,53.1283166513301
2025-10-30T00:00:00Z,37.5646011341957,,,4,37.5646011341957,4,37.5646011341957,San Marino,-1.59996588699191e-07,-6.01020899893001e-06
2025-10-30T00:00:00Z,47503.7922257633,52,1177469.64155217,2742,46326.3225842111,2587,46169.8736430865,Saudi Arabia,0.0120992224267649,567.887945686001
2025-10-30T00:00:00Z,2984.87639502705,,,79,2984.87639502705,79,2984.87639502705,Senegal,-0.0311867766272976,-96.0852630270001
2025-10-30T00:00:00Z,9974.2217358662,164,536238.810839327,800,9437.44719951024,797,9434.09291718625,Serbia,0.0106769163467253,105.368915995899
2025-10-30T00:00:00Z,871.683303318411,,,21,871.683303318411,21,871.683303318411,Sierra Leone,7.08443854744997e-05,0.0617494933470653
2025-10-30T00:00:00Z,8569.4461377613,254,129864.865026931,1604,8456.89881977635,1603,8456.44057104205,Slovakia,0.0146583125732365,123.798936558511
2025-10-30T00:00:00Z,3456.25683443961,298,352528.419951073,422,3158.15930169521,386,3138.95943468809,Slovenia,0.0108236950463922,37.0088969632498
2025-10-30T00:00:00Z,77940.4524834748,78,212752.612130267,7676,77727.825070566,7614,77639.8473431785,South Africa,0.00438818142809693,340.522571262394
2025-10-30T00:00:00Z,14635.9987461712,2,11099.4301567634,3200,14624.8993160144,2905,13948.7163435201,South Korea,0.00835749852602045,121.3065188951
2025-10-30T00:00:00Z,267.967235702501,,,10,267.967235702501,10,267.967235702501,South Sudan,0,0
2025-10-30T00:00:00Z,76531.1452766857,4014,12154815.2575433,12481,64434.2470845351,11894,63143.1504187412,Spain,0.0181267364568417,1362.561114934
2025-10-30T00:00:00Z,3568.97395174468,29,153770.038173193,231,3415.20391357148,231,3415.20391357148,Sri Lanka,0.292745298118456,808.20277977508
2025-10-30T00:00:00Z,6681.71419747634,,,660,6681.71419747634,660,6681.71419747634,Sudan,4.48546508209199e-05,0.299692514609887
2025-10-30T00:00:00Z,133.895916832202,,,6,133.895916832202,6,133.895916832202,Suriname,0,0
2025-10-30T00:00:00Z,36312.2213133785,1665,4519107.26316732,5315,31842.4549036785,5163,31305.3731637399,Sweden,0.0153376238492568,548.5300441484
2025-10-30T00:00:00Z,9229.93585579765,436,473685.724830233,4664,8982.56193192895,4195,8450.30234089414,Switzerland,0.0232289456137932,209.53441449461
2025-10-30T00:00:00Z,11254.0503395902,2,64493.6660079552,657,11189.5566735823,639,11188.1349036662,Syria,0.0140534188209164,155.966026955301
2025-10-30T00:00:00Z,5686.75723955553,,,1371,5686.75723955553,1138,5293.44390493619,Taiwan,-0.00176408595521697,-10.04965703586
2025-10-30T00:00:00Z,5142.61360199389,13,71459.4243669179,527,5071.15417762697,497,5069.80515689404,Tajikistan,0.113766940527352,525.29788281934
2025-10-30T00:00:00Z,7577.1845235705,11,86722.7543971629,193,7490.46176917334,192,7454.02119991721,Tanzania,0.0219987314952186,163.100444929009
2025-10-30T00:00:00Z,23346.7774156701,5,132062.696302659,1205,23324.6350372151,1182,23278.6857022237,Thailand,0.0414722956112519,929.688152659401
2025-10-30T00:00:00Z,29.5793489828346,,,5,29.5793489828346,5,29.5793489828346,The Bahamas,0.389372863337477,8.2896363625804
2025-10-30T00:00:00Z,317.459590773704,,,11,317.459590773704,11,317.459590773704,The Gambia,0.000186631642823547,0.0592369494669924
2025-10-30T00:00:00Z,1106.05102135021,,,48,1106.05102135021,48,1106.05102135021,Togo,-1.53748194496892e-06,-0.00170053609008392
2025-10-30T00:00:00Z,226.58406576402,,,29,226.58406576402,29,226.58406576402,Trinidad and Tobago,0,0
2025-10-30T00:00:00Z,5920.74714433235,27,64397.1050066177,330,5855.07005651764,329,5854.31379202347,Tunisia,0.00869011057032004,51.0086763060099
2025-10-30T00:00:00Z,58352.6897926244,221,216101.670458197,3800,58093.2135968772,3753,57969.0723324132,Turkey,0.0187875774444511,1076.088581018
2025-10-30T00:00:00Z,11289.2674499273,9,113928.871324872,714,11175.3385786024,714,11175.3385786024,Turkmenistan,0.278759319750974,2460.97014991171
2025-10-30T00:00:00Z,2770.4813169503,410,23807.6152318952,75,2746.5930275876,73,2746.08741226823,Uganda,0.0130668295718218,35.73447095865
2025-10-30T00:00:00Z,121416.274893447,13408,61436613.4245476,8563,60634.2974919906,8548,60610.2062694271,Ukraine,0.000881766550903634,106.966490463004
2025-10-30T00:00:00Z,6518.91781460681,38,187845.157990864,977,6331.38793024004,749,6139.83194010194,United Arab Emirates,0.000936337325044482,6.09819610008981
2025-10-30T00:00:00Z,41751.7434355216,25572,11092030.0401891,12458,30976.8965144153,10154,24807.116454992,United Kingdom,0.0855674634690181,3290.9891843758
2025-10-30T00:00:00Z,840239.272338346,29623,61551434.9291053,218179,784304.301303291,215682,780841.051811823,United States of America,0.057580155615739,45746.989293241
2025-10-30T00:00:00Z,5607.81078926034,6,38455.3550709609,224,5569.35543418938,223,5568.90880297672,Uruguay,3.21488814770583e-05,0.180279048639932
2025-10-30T00:00:00Z,16694.4515904318,24,126657.176802996,2376,16567.7944136288,2376,16567.7944136288,Uzbekistan,0.353053048776667,4356.0945647958
2025-10-30T00:00:00Z,20384.7457558883,4,16983.1106109057,1451,20362.4992925682,1451,20362.4992925682,Venezuela,0.0165008647874901,330.905703179698
2025-10-30T00:00:00Z,28448.6076279153,2,43173.1716566209,7676,28397.7993732945,7664,28388.9281188457,Vietnam,0.0490768079571825,1330.8528437714
2025-10-30T00:00:00Z,1482.48008007164,,,157,1482.48008007164,157,1482.48008007164,Yemen,0,0
2025-10-30T00:00:00Z,13028.7797656222,31,318191.763866172,362,12710.588001756,362,12710.588001756,Zambia,0.0238535863838923,303.542545290698
2025-10-30T00:00:00Z,7349.58767568796,3,57924.5508450888,213,7284.02042450407,212,7283.35155812684,Zimbabwe,0.00731598851083765,53.37897899766
